pid,duration,date,race_ethn,gender,age,subscale,item,response
28,1359,11/13/18 21:06,5,2,20,sr,3,3
29,1265,11/13/18 22:15,6,2,19,sr,3,5
30,2796,11/14/18 2:07,2,2,18,sr,3,3
35,2855,11/14/18 18:03,5,2,20,sr,3,5
37,13373,11/14/18 20:29,5,2,19,sr,3,3
41,2335,11/14/18 22:07,5,2,20,sr,3,1
42,2709,11/15/18 9:58,5,2,21,sr,3,4
44,3556,11/15/18 16:05,5,2,18,sr,3,3
48,1191,11/16/18 16:07,5,2,19,sr,3,2
50,2434,11/18/18 14:27,6,2,20,sr,3,5
55,744,11/19/18 14:24,5,2,19,sr,3,1
60,10045,11/20/18 18:51,4,2,19,sr,3,4
62,1769,11/21/18 11:14,5,2,20,sr,3,4
66,5018,11/23/18 15:34,2,2,19,sr,3,1
69,2391,11/24/18 16:03,6,2,23,sr,3,3
70,2298,11/24/18 18:49,6,2,19,sr,3,2
74,2157,11/26/18 14:53,3,2,20,sr,3,2
75,1550,11/26/18 15:45,5,2,18,sr,3,4
76,1014,11/26/18 17:37,5,2,19,sr,3,1
79,1704,11/27/18 13:16,5,2,18,sr,3,3
86,1288,11/28/18 11:39,6,2,19,sr,3,4
89,7441,11/28/18 16:08,6,2,18,sr,3,1
94,2527,11/29/18 17:05,5,2,20,sr,3,4
96,3148,11/29/18 19:50,1,2,19,sr,3,3
98,1992,11/30/18 13:59,5,2,19,sr,3,NA
100,902,11/30/18 19:46,5,2,19,sr,3,4
3,2412,11/6/18 20:19,6,1,19,sr,3,4
4,1223,11/8/18 11:49,2,1,18,sr,3,3
5,2708,11/10/18 11:56,2,1,20,sr,3,1
6,2417,11/10/18 16:22,1,1,18,sr,3,3
8,5365,11/11/18 14:44,6,1,20,sr,3,2
9,3936,11/11/18 15:13,5,1,18,sr,3,3
11,873,11/11/18 20:14,5,1,19,sr,3,3
12,5461,11/11/18 21:51,5,1,19,sr,3,3
13,1451,11/12/18 9:35,5,1,21,sr,3,2
14,1584,11/12/18 13:09,2,1,20,sr,3,3
15,1152,11/12/18 14:35,2,1,18,sr,3,1
16,1607,11/12/18 14:36,5,1,18,sr,3,3
17,3009,11/12/18 14:59,5,1,18,sr,3,3
19,527,11/12/18 15:10,5,1,19,sr,3,2
20,757,11/12/18 17:46,5,1,19,sr,3,1
21,2900,11/12/18 18:11,2,1,21,sr,3,1
22,2175,11/12/18 23:00,5,1,20,sr,3,3
23,25544,11/12/18 23:34,5,1,21,sr,3,1
24,1430,11/13/18 0:24,2,1,18,sr,3,1
25,1600,11/13/18 11:22,5,1,18,sr,3,4
26,1130,11/13/18 16:38,5,1,18,sr,3,5
31,1655,11/14/18 10:26,5,1,22,sr,3,3
32,845,11/14/18 12:33,5,1,18,sr,3,3
33,266503,11/14/18 15:02,5,1,19,sr,3,5
34,1299,11/14/18 15:51,5,1,19,sr,3,3
36,1416,11/14/18 19:18,5,1,20,sr,3,3
38,9333,11/14/18 20:48,5,1,20,sr,3,3
39,2016,11/14/18 21:34,5,1,19,sr,3,2
40,3220,11/14/18 21:48,6,1,19,sr,3,1
43,960,11/15/18 10:15,5,1,19,sr,3,2
45,1396,11/15/18 21:40,5,1,19,sr,3,2
46,3263,11/15/18 23:21,5,1,19,sr,3,4
47,2634,11/16/18 13:51,5,1,19,sr,3,2
49,1203,11/18/18 12:59,5,1,18,sr,3,5
